y,word,pos,length,freq,unigram,w1,w1w2,p0w1,p0w1w2,p0p1w1,p0p1w1w2
26.023255228096303,all,function_words,3,2735.0000000000,0.0028364400,0.0189046862,0.0377618312,0.0172953665,0.0618718106,0.0175237415,0.0620577626
22.883170779844534,dance,verbs,5,135.0000000000,0.0001431720,0.0060474735,0.0860601434,0.0080954415,0.1261510779,0.0081261275,0.1261532500
16.924222975382765,ouch,other,4,58.0000000000,0.0000657933,0.0039543067,0.0055940623,0.0069680027,0.0234543708,0.0069552509,0.0234977556
23.729716630460892,yellow,adjectives,6,577.0000000000,0.0005974580,0.0019983711,0.0209161224,0.0016664480,0.0358774642,0.0017222102,0.0359136499
26.18141075170761,penis,nouns,5,4.0000000000,,,,,,,
26.790996306915,windy,adjectives,5,27.0000000000,0.0000320963,0.0001025294,0.0000869171,0.0001138776,0.0017948009,0.0001133217,0.0017991278
30.215734410798937,skate,verbs,5,12.0000000000,0.0000108796,0.0133954187,0.1498381407,0.0094512773,0.1823510000,0.0094543787,0.1822186333
22.375606909077955,sleep,verbs,5,181.0000000000,0.0001868530,0.0064679954,0.0396551043,0.0069062441,0.0636124987,0.0069185759,0.0654039367
26.47929069264927,dish,nouns,4,22.0000000000,0.0000221120,0.0003863880,0.0431576000,0.0002997820,0.0215120000,0.0003103380,0.0215120000
20.229166557598372,chair,nouns,5,442.0000000000,0.0004651660,0.0602977879,0.1115100800,0.0709743597,0.1422684622,0.0709961821,0.1348779842
33.40549267415279,hate,verbs,4,8.0000000000,0.0000083836,0.0005134760,0.1017500000,0.0009762090,0.1515260000,0.0009762090,0.1515260000
17.41795394022616,milk,nouns,4,269.0000000000,0.0002866960,0.0490359219,0.0497453656,0.0497423454,0.0818675035,0.0500033101,0.0819317225
24.593547322405648,hold,verbs,4,461.0000000000,0.0004851340,0.0035376693,0.0052437440,0.0058139683,0.0184638659,0.0052468790,0.0148582119
22.73101362876104,tickle,verbs,6,191.0000000000,0.0001818610,0.2000486082,0.2975674288,0.2056250958,0.3535509617,0.2056230945,0.3535707093
27.22842495335402,to,function_words,2,13163.0000000000,0.0137493000,0.2041646957,0.3229893246,0.1910246380,0.3589908352,0.1915470619,0.3390230044
31.013211762033148,does,verbs,4,1442.0000000000,0.0015085300,0.0193399676,0.0471862434,0.0232858322,0.0733360429,0.0243041258,0.0742823045
29.89980121135788,those,function_words,5,1200.0000000000,0.0012426900,0.0138300601,0.0262375717,0.0147271839,0.0507458640,0.0148087246,0.0538579016
26.320329733330965,under,function_words,5,334.0000000000,0.0003553380,0.0062468418,0.0317444177,0.0060386867,0.0803465422,0.0060326914,0.0806708010
27.392785061180852,melon,nouns,5,6.0000000000,,,,,,,
26.353412962088083,smile,verbs,5,31.0000000000,0.0000333443,0.0007252928,0.0009666906,0.0014676204,0.0591789202,0.0014669063,0.0591871219
26.4364432376507,brown,adjectives,5,277.0000000000,0.0002866960,0.0251706182,0.0473540972,0.0207617735,0.0655382332,0.0207829126,0.0655600540
28.36408287853539,garden,nouns,6,75.0000000000,0.0000832658,0.0016085700,0.0015743300,0.0013371200,0.0033969300,0.0013842000,0.0033969300
