y,word,pos,length,freq,unigram,w1,w1w2,p0w1,p0w1w2,p0p1w1,p0p1w1w2
26.023255228096303,all,function_words,3,1934.0000000000,0.0033348100,0.0184346354,0.0311854035,0.0169891402,0.0509820640,0.0176389691,0.0531754802
22.883170779844534,dance,verbs,5,57.0000000000,0.0000954430,0.0132620755,0.0531408228,0.0207454696,0.0767214147,0.0207711656,0.0767899224
16.924222975382765,ouch,other,4,92.0000000000,0.0001638200,0.0005042729,0.0005169106,0.0021009078,0.0020986037,0.0021725070,0.0022130200
23.729716630460892,yellow,adjectives,6,244.0000000000,0.0004010030,0.0101983734,0.0099938923,0.0056761371,0.0176745722,0.0057092073,0.0176082401
26.790996306915,windy,adjectives,5,9.0000000000,0.0000142452,0.0000124927,0.0000129757,0.0000101857,0.0000078355,0.0000108966,0.0000078455
22.375606909077955,sleep,verbs,5,122.0000000000,0.0002257870,0.0091868552,0.1263895206,0.0166766088,0.1354915296,0.0147160197,0.1181785171
26.47929069264927,dish,nouns,4,17.0000000000,0.0000249292,0.0004876820,0.0005249540,0.0002571230,0.0003586570,0.0002372010,0.0003586570
20.229166557598372,chair,nouns,5,303.0000000000,0.0005292100,0.0425540410,0.0440677357,0.0556640205,0.0613531368,0.0535435192,0.0627008516
33.40549267415279,hate,verbs,4,11.0000000000,0.0000185188,0.0016483500,0.0003239440,0.0019509300,0.0001953730,0.0016211900,0.0001953730
17.41795394022616,milk,nouns,4,214.0000000000,0.0003668150,0.0155704580,0.0274543448,0.0164339665,0.0701835459,0.0164014995,0.0700152041
24.593547322405648,hold,verbs,4,534.0000000000,0.0009116940,0.0045338906,0.0068069717,0.0051275549,0.0073213576,0.0053491783,0.0069890431
22.73101362876104,tickle,verbs,6,351.0000000000,0.0006146810,0.1887595770,0.2556912391,0.1764965876,0.3027335977,0.1777492859,0.1967518696
27.22842495335402,to,function_words,2,5409.0000000000,0.0093434400,0.1647874393,0.2423964049,0.1666998809,0.2472658647,0.1606291284,0.2215348953
31.013211762033148,does,verbs,4,500.0000000000,0.0008924620,0.0153542894,0.0325866281,0.0188144239,0.0331739387,0.0214275408,0.0355890765
29.89980121135788,those,function_words,5,666.0000000000,0.0011296500,0.0056166417,0.0136771674,0.0063798930,0.0207773791,0.0070280604,0.0213030326
26.320329733330965,under,function_words,5,154.0000000000,0.0002792060,0.0015239522,0.0031356712,0.0015431917,0.0059325750,0.0016083505,0.0062050353
26.353412962088083,smile,verbs,5,28.0000000000,0.0000505706,0.0000668006,0.0000906699,0.0000835164,0.0000725141,0.0000883026,0.0000794358
26.4364432376507,brown,adjectives,5,144.0000000000,0.0002428810,0.0394633150,0.0722795287,0.0138235547,0.0584420357,0.0138067873,0.0584702800
28.36408287853539,garden,nouns,6,23.0000000000,0.0000377498,0.0000483516,0.0000376807,0.0000423459,0.0000254715,0.0000486726,0.0000283212
19.903709202066764,blanket,nouns,7,45.0000000000,0.0000762119,0.0205146895,0.1853589593,0.0063424413,0.0380624980,0.0066978912,0.0381105930
17.26248834984024,kitty,nouns,5,1112.0000000000,0.0018609979,0.0174453615,0.0582652346,0.0095558671,0.0644804490,0.0093253811,0.0640537691
18.675097278024364,peekaboo,other,8,359.0000000000,0.0006275020,0.0141778035,0.0187935290,0.0255691815,0.0369353642,0.0343793720,0.0422323286
19.471977672255708,spoon,nouns,5,211.0000000000,0.0003518570,0.0065180246,0.0214641788,0.0031576308,0.0239572984,0.0031509655,0.0234174839
32.15239116807415,every,function_words,5,30.0000000000,0.0000527073,0.0583015875,0.0737088168,0.0548114819,0.1330104379,0.0548182516,0.1330200082
22.87169478293961,fall,verbs,4,222.0000000000,0.0003860460,0.0082770104,0.0256241877,0.0066374949,0.0294355872,0.0070007230,0.0300273624
24.62698132789379,cook,verbs,4,24.0000000000,0.0000356131,0.0002145082,0.0001820739,0.0002097822,0.0001118347,0.0002223393,0.0001664195
17.56769342888419,bubbles,nouns,7,83.0000000000,0.0001403160,0.0175012291,0.0137656586,0.0345473205,0.0487225338,0.0323352816,0.0487372827
25.265521045418033,wipe,verbs,4,146.0000000000,0.0002535650,0.0065982623,0.0109587977,0.0064325423,0.0265052068,0.0068389560,0.0276176331
23.118764227018126,school,nouns,6,43.0000000000,0.0000762119,0.0013651382,0.0094199681,0.0020495720,0.0102530783,0.0020710475,0.0098551592
28.522976500646106,tricycle,nouns,8,1.0000000000,,,,,,,
29.47218118439899,tear,verbs,4,28.0000000000,0.0000505706,0.0003120596,0.0003170209,0.0002792979,0.0160487353,0.0002730457,0.0160535119
21.762738949944726,button,nouns,6,90.0000000000,0.0001638200,0.0279773657,0.0308354841,0.1133068158,0.0786217740,0.1124279492,0.0673015453
26.478081710313287,brother,other,7,3.0000000000,0.0000042883,0.0000136341,0.0000155481,0.0000143061,0.0000138818,0.0000141704,0.0000138825
