y,word,pos,length,freq,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp
26.023255228096303,all,quantifiers,3,2735.0,32.802185,0.042258,31.660581,33.034950,33.961857,2.301276,23.888074,2.439765,12.778120,3.482112,1.518727,0.225599,1.238844,1.591892,1.788942,0.550098,5.923086,2.516415,0.534964,1.612884,0.907313,0.416826,31.939660,0.181949,-4.949622,-2.924069,-15.370277,-0.683194,-24.067759,-0.236794,0.030005,0.637656,0.981389,0.486554,6.685922,0.535183,-1.803530,-16.412017,21.327086,0.249927,517.068303,0.159573,1267.032948,0.087817,-26.343947,-0.955003,1353.118444,0.075444,1033.959271,0.124078,-27.962883,0.166075,2472.724762,0.059747,890.086466,0.297347,-43.922803,-0.515560,-9.678784,-0.466992,26.722224,0.102070,0.027376,0.450118,-0.018844,-0.854018,0.935867,0.275567,30.932527,0.084105,-7.156502,-0.151328,-16.308961,-0.374021,-24.199287,1.242242,-3.261609,7.861627,-0.003368,-0.005038,0.246817,4.671182,6.431489,0.137838,0.002753,0.012090,0.000587,-17.529887
22.883170779844527,dance,action_words,5,135.0,33.105375,0.092968,30.634982,33.323969,35.798178,5.163196,60.674300,5.293351,14.506989,11.019080,1.206704,0.435687,0.669645,1.196037,1.732394,1.062750,9.701471,5.186129,5.812799,1.906089,0.795141,0.614370,20.282298,0.363977,2.020110,0.499470,8.467538,0.806803,-8.437430,-0.032685,0.045483,0.935901,1.105882,0.678012,6.275794,-0.718842,5.940580,-0.310133,17.888387,0.693497,597.232901,0.253494,1232.216112,0.139173,-62.106743,-1.235576,1633.102778,0.123175,966.205032,0.358474,-65.944238,-0.861631,2533.407326,0.095087,814.186347,0.322063,-66.868957,-0.836888,-13.162184,-0.368305,19.028083,0.314979,0.030214,-0.509086,-0.029373,-0.323962,0.976908,0.398737,24.088882,0.238457,-0.456680,-0.847231,11.173485,-0.214978,-14.583628,-1.121111,-7.550743,13.186352,-0.010339,-0.011198,0.412007,4.356230,3.819721,0.202019,0.016011,0.076617,0.009750,-19.141394
16.924222975382765,ouch,sounds,4,58.0,36.059670,0.065444,33.885799,36.422222,38.543285,4.657485,101.561241,12.358458,3.597564,10.908592,1.088707,0.496710,0.591165,0.988788,1.588098,0.996933,14.493657,9.359459,4.782341,3.910552,0.807693,0.772049,11.721346,2.672293,-7.030819,-1.370569,3.925845,1.999966,-9.902557,0.056394,0.045059,0.627627,1.292241,0.480468,4.157825,0.087805,3.912444,0.872789,14.184057,3.574005,635.951214,0.239011,991.760767,0.151898,-138.041279,-0.630035,1473.383190,0.110360,871.542453,0.159709,-123.919985,-0.689035,2360.541552,0.075368,757.880350,0.236845,-126.750170,-0.618922,-4.433607,-13.962408,17.911131,0.331997,0.010261,0.516728,-0.006497,-2.199003,1.224295,0.355309,17.121357,0.402928,-17.593986,-0.444535,-6.165333,1.365199,-10.796368,-0.459880,-2.916440,10.914350,-0.013847,-0.010393,0.544542,3.950552,2.747883,0.156379,0.005755,0.168230,0.024865,-21.821742
23.729716630460892,yellow,descriptive_words,6,577.0,33.533264,0.086674,31.250171,33.578505,35.966130,4.715959,46.925964,10.095859,25.406574,10.870489,1.429700,0.287179,1.075720,1.457468,1.787043,0.711323,8.440959,3.723104,3.512307,3.942161,0.937353,0.443289,31.678750,0.184292,-0.119462,5.306258,-2.265254,-1.286618,-19.535801,2.452045,0.037514,0.954116,0.989483,0.581994,7.116733,0.494410,1.471682,0.420329,22.742649,0.312952,585.600744,0.238079,1322.600058,0.136782,-20.522214,-1.438706,1565.044210,0.140998,1079.380180,0.316499,-29.811119,-1.156338,2613.315789,0.101188,913.352913,0.435074,-39.043037,-0.531789,-14.452639,-0.316593,26.516769,0.223796,0.031538,0.093125,-0.028648,-0.383295,1.006781,0.367806,31.358449,0.165973,-0.997043,1.806333,-1.095895,-0.451384,-20.203027,-1.306928,-4.029071,8.083040,0.001607,-0.006792,0.300409,5.201334,3.970449,0.305421,0.011957,0.021014,0.004495,-17.282604
26.18141075170761,penis,body_parts,5,4.0,27.664780,0.134379,25.227475,27.663025,29.854235,4.626761,112.535497,63.134375,80.748262,0.000000,0.917474,0.516711,0.432162,0.887317,1.406876,0.974713,9.249498,2.601492,7.354395,5.602411,0.602129,0.695054,19.699375,0.668135,8.903987,1.230714,11.030132,0.943130,-17.261955,-1.154837,0.080307,0.883147,1.438086,0.689472,2.679834,0.507647,3.278211,-0.148452,19.715142,0.323557,623.834775,0.207986,1198.247750,0.126449,-78.311965,-1.286046,1813.647000,0.135304,710.379625,0.465107,-86.883702,-0.944536,2796.311250,0.090646,598.690100,0.221398,-88.112230,-0.900394,-16.385032,-0.288053,20.187928,0.270910,0.040269,0.709820,-0.048823,-0.223336,0.776459,0.471313,27.030258,0.301652,9.023232,0.743452,17.031505,0.299428,-30.845588,-0.472411,-8.671444,14.107260,-0.013532,-0.026407,0.390829,6.169389,4.183755,0.173750,0.016250,0.107500,0.005000,-21.031962
26.790996306914998,windy,descriptive_words,5,27.0,34.224846,0.131947,30.476860,35.337084,37.800277,7.323418,124.446354,65.789969,46.881231,19.290345,1.230832,0.248264,0.971249,1.232375,1.491066,0.519817,8.268874,3.707961,4.876849,3.076929,1.048538,0.475743,29.032624,0.199355,10.631844,0.890921,12.077891,0.909793,-15.355579,-0.830618,0.053211,1.198896,1.159595,0.604492,7.089953,0.723522,7.383303,0.582578,25.462148,0.410023,596.407178,0.266254,1292.813815,0.140428,-40.964480,0.167340,1679.199259,0.152499,1001.138459,0.357007,-48.748289,-0.693428,2727.471407,0.096255,794.466115,0.368666,-51.998861,-0.632226,-20.425882,-0.247837,29.537321,0.238742,0.016286,2.932805,-0.029877,-0.311374,1.109109,0.413934,29.997459,0.171469,10.812320,-0.013415,10.819330,1.194055,-15.751562,-0.136530,-12.286403,19.221188,-0.010494,-0.014351,0.857745,5.615296,3.637982,0.403951,0.044391,0.037037,0.008148,-16.475023
30.215734410798937,skate,action_words,5,12.0,25.060708,0.156767,19.915090,26.882747,28.650178,8.735087,60.806158,7.310653,62.520735,82.783728,0.780843,0.564398,0.366874,0.608859,1.311439,0.944565,11.326621,4.040939,3.367108,2.311128,0.543103,0.828952,18.110083,0.610707,8.755164,2.520720,16.595589,0.637679,-17.047625,-1.400309,0.080905,0.551225,1.893481,0.554038,2.805538,0.994522,1.177725,2.619593,14.155088,0.996155,563.141950,0.209044,1117.930133,0.108253,-113.813781,-0.872831,1679.728833,0.145223,690.963512,0.487661,-119.942919,-0.686506,2519.641833,0.086784,659.531192,0.284609,-117.786253,-0.728330,-14.289281,-0.258221,17.425924,0.214539,0.044330,0.662820,-0.038457,-0.254472,0.782467,0.415880,22.602582,0.232402,8.126759,0.779893,21.171334,0.232269,-28.514590,-0.379834,-10.608722,16.086220,0.008771,-0.021455,0.369390,3.722951,3.866342,0.114167,0.017500,0.108750,0.016250,-21.954258
22.375606909077952,sleep,action_words,5,181.0,32.532708,0.119531,28.958905,33.560346,35.757532,6.798627,65.881939,9.904884,43.951692,7.194778,0.846946,0.450117,0.490636,0.755906,1.249189,0.758553,9.045577,3.510657,4.272968,2.835166,0.669467,0.719512,18.662546,0.638729,9.185615,3.125757,8.390843,6.825201,-7.896109,0.081298,0.060632,0.827724,1.334592,0.637501,6.158106,3.386723,8.842501,-0.215506,20.649794,0.228597,561.500720,0.250118,1200.203635,0.129618,-104.502609,-0.875238,1581.649276,0.132131,895.460436,0.336279,-100.789403,-0.769347,2534.389558,0.086281,804.442983,0.352984,-101.479545,-0.744604,-16.484580,-0.277811,24.226359,0.240535,0.036041,1.986422,-0.025893,-0.376076,0.879495,0.437536,23.775059,0.244789,7.865305,-0.192951,9.804981,-2.338691,-14.276295,-0.713360,-8.476412,15.227215,-0.008930,-0.012951,0.424253,4.271573,4.149624,0.157044,0.017279,0.079471,0.013619,-20.971174
26.479290692649272,dish,household,4,22.0,30.600240,0.079836,28.667605,29.895479,33.769217,5.101612,79.265542,3.588227,8.495561,6.209453,0.924535,0.394484,0.624155,0.818096,1.297923,0.673768,8.228490,5.790356,5.203875,2.055666,0.512936,0.670234,9.412596,0.814148,6.434544,0.853101,18.269454,0.438219,-13.339430,-3.039964,0.038048,0.556242,1.331512,0.498790,4.366458,0.749857,8.982944,0.556069,16.871475,0.377782,457.535877,0.202573,1009.648364,0.145366,-121.127321,-0.703737,1435.056636,0.086485,753.833418,0.382540,-116.385918,-0.621346,2243.726409,0.074550,888.263932,0.314770,-114.794557,-0.643969,-11.086150,-0.457576,15.673402,0.365389,0.028493,0.226226,-0.028185,-0.294922,0.746694,0.387992,18.123865,0.414627,3.363772,-17.543900,14.590698,0.742974,-19.040804,-0.884732,-2.128061,6.435656,-0.021939,-0.014398,0.319801,4.390157,4.223224,0.130227,0.006383,0.124545,0.019397,-23.439013
20.22916655759837,chair,furniture_rooms,5,442.0,33.297743,0.083150,30.970085,33.400208,35.583211,4.613127,47.745186,10.059877,43.862567,14.089423,1.238712,0.348792,0.817037,1.264986,1.647676,0.830639,9.033432,4.315920,4.417903,3.581977,0.779730,0.550688,20.161033,0.782012,-4.690899,-0.024660,8.657060,1.703223,-11.309723,-0.443300,0.040956,0.876081,1.192621,0.608122,5.834420,0.910705,4.220370,0.521294,13.441683,0.491068,541.545957,0.207837,1145.499402,0.146806,-88.140699,-0.896476,1561.535330,0.096907,909.168843,0.343240,-84.818617,-0.887164,2395.456090,0.081099,910.399773,0.264884,-85.206683,-0.956651,-10.216557,0.725648,15.571096,0.368723,0.025174,0.670387,-0.029059,-0.292564,0.880889,0.383937,23.511584,0.354537,-7.146535,-1.058212,7.979867,1.025914,-13.578709,-0.281332,-1.908777,6.760716,-0.009279,-0.015080,0.550538,5.445196,3.625009,0.197462,0.021130,0.085600,0.017282,-20.545361
